Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
340, 115.037, 94.2741, 243.973, 7, 0.560944
341, 104.639, 94.5991, 244.815, 7, 0.60233
342, 176.782, 94.9241, 245.78, 7, 0.576919
343, 105.273, 95.179, 246.348, 7, 0.52439
344, 108.888, 95.4054, 246.345, 7, 0.560818
345, 106.642, 95.6567, 247.47, 7, 0.59512
346, 126.205, 95.9328, 251.318, 7, 0.595311
347, 116.804, 96.2123, 253.365, 7, 0.618956
348, 116.934, 96.5373, 254.998, 7, 0.67094
349, 157.226, 96.8134, 256.42, 7, 0.664534
350, 118.649, 97.1145, 256.635, 7, 0.672694
351, 110.927, 97.3906, 256.673, 7, 0.700643
352, 153.178, 97.5922, 256.64, 7, 0.685851
353, 132.005, 97.8496, 257.29, 7, 0.696236
354, 109.198, 98.1188, 257.29, 7, 0.688892
355, 108.196, 98.3762, 258.87, 7, 0.66988
356, 127.218, 98.6372, 258.868, 7, 0.661573
357, 115.462, 98.8885, 258.868, 7, 0.656421
358, 117.975, 99.1926, 258.868, 7, 0.697971
359, 125.644, 99.4721, 259.735, 7, 0.652746
360, 122.48, 99.7183, 260.268, 7, 0.645629
361, 110.474, 99.9733, 260.658, 7, 0.691607
362, 148.536, 100.228, 260.43, 7, 0.67932
363, 113.934, 100.489, 260.65, 7, 0.710644
364, 119.584, 100.769, 260.645, 7, 0.711126
365, 113.143, 101.024, 261.01, 7, 0.681379
366, 114.082, 101.279, 260.975, 7, 0.675812
367, 177.256, 101.58, 260.975, 7, 0.721785
368, 110.026, 101.831, 261.578, 7, 0.672311
369, 132.587, 102.086, 261.235, 7, 0.675733
370, 130.566, 102.387, 261.84, 7, 0.720563
371, 130.775, 102.663, 261.84, 7, 0.673137
372, 113.605, 102.938, 261.698, 7, 0.68825
373, 101.376, 103.175, 261.703, 7, 0.646597
374, 118.054, 103.436, 261.703, 7, 0.674054
375, 125.977, 103.686, 261.708, 7, 0.689547
376, 118.456, 103.941, 261.72, 7, 0.709923
377, 103.082, 104.192, 261.72, 7, 0.714712
378, 108.099, 104.447, 261.723, 7, 0.72278
379, 99.933, 104.702, 261.723, 7, 0.73737
380, 115.428, 104.949, 261.723, 7, 0.796217
381, 110.481, 105.199, 261.725, 7, 0.790583
382, 105.423, 105.624, 261.725, 7, 0.929017
383, 101.385, 105.9, 261.725, 7, 0.866845
384, 106.42, 106.185, 261.725, 7, 0.876286
385, 100.488, 106.539, 261.725, 7, 0.923041
386, 107.101, 107.298, 262.315, 12, 0.338342
387, 108.664, 107.549, 262.323, 12, 0.373651
388, 105.161, 107.851, 262.323, 12, 0.397598
389, 111.091, 108.009, 262.325, 12, 0.342723
390, 119.287, 108.284, 262.328, 12, 0.472818
391, 109.32, 108.536, 262.33, 12, 0.451282
392, 110.843, 108.762, 262.345, 12, 0.448946
